source,item_id,title_id,title,creators,language,year,period,genre,non_english_title,subfield,biology_hits,subjects,volume_info,barcode,item_url,item_text_url,copyright_status,rights_statement,license_type,rights_holder,work_id,period_bin
BHL,50320,14408,"The mineral conchology of Great Britain; or, Coloured figures and descriptions of those remains of testaceous animals or shells, which have been preserved at various times and depths in the earth","Sowerby, James, 1757-1822; Farey, John, 1766-1826; Meredith, Benjamin,; Sowerby, Charles Edward, 1795-1842; Sowerby, James de Carle, 1787-1871; Taylor, Richard, 1781-1858; Arding and Merrett,; Arding, W., active 1821-; Longman, Rees, Orme, Brown, and Green,; Sherwood and Co. (London),; White and Co. (London),",ENG,1818,1800_1829,monograph_or_book,0,paleontology,animal;animals;conchology;paleontology,"Mollusks, Fossil; Great Britain; Paleontology; Pictorial works",v.3 (1818) [Lacks Plates],mineralconcholog31818sowe,https://www.biodiversitylibrary.org/item/50320,https://www.biodiversitylibrary.org/itemtext/50320,Public domain. The BHL considers that this work is no longer under copyright protection.,,,,14408,1800_1829
BHL,50345,14408,"The mineral conchology of Great Britain; or, Coloured figures and descriptions of those remains of testaceous animals or shells, which have been preserved at various times and depths in the earth","Sowerby, James, 1757-1822; Farey, John, 1766-1826; Meredith, Benjamin,; Sowerby, Charles Edward, 1795-1842; Sowerby, James de Carle, 1787-1871; Taylor, Richard, 1781-1858; Arding and Merrett,; Arding, W., active 1821-; Longman, Rees, Orme, Brown, and Green,; Sherwood and Co. (London),; White and Co. (London),",ENG,1812,1800_1829,monograph_or_book,0,paleontology,animal;animals;conchology;paleontology,"Mollusks, Fossil; Great Britain; Paleontology; Pictorial works",v.1 (1812) [Lacks Plates],mineralconcholog11812sowe,https://www.biodiversitylibrary.org/item/50345,https://www.biodiversitylibrary.org/itemtext/50345,Public domain. The BHL considers that this work is no longer under copyright protection.,,,,14408,1800_1829
BHL,50366,14408,"The mineral conchology of Great Britain; or, Coloured figures and descriptions of those remains of testaceous animals or shells, which have been preserved at various times and depths in the earth","Sowerby, James, 1757-1822; Farey, John, 1766-1826; Meredith, Benjamin,; Sowerby, Charles Edward, 1795-1842; Sowerby, James de Carle, 1787-1871; Taylor, Richard, 1781-1858; Arding and Merrett,; Arding, W., active 1821-; Longman, Rees, Orme, Brown, and Green,; Sherwood and Co. (London),; White and Co. (London),",ENG,1823,1800_1829,monograph_or_book,0,paleontology,animal;animals;conchology;paleontology,"Mollusks, Fossil; Great Britain; Paleontology; Pictorial works",v.4 (1823) [Lacks Plates],mineralconcholog41823sowe,https://www.biodiversitylibrary.org/item/50366,https://www.biodiversitylibrary.org/itemtext/50366,Public domain. The BHL considers that this work is no longer under copyright protection.,,,,14408,1800_1829
BHL,50517,14539,"The bird watcher in the Shetlands, with some notes on seals--and digressions","Selous, Edmund.",ENG,1905,1900_1909,monograph_or_book,0,general_or_unknown,animal;animals,Birds; Seals (Animals); Scotland; Shetland,,birdwatcherinshe00selo,https://www.biodiversitylibrary.org/item/50517,https://www.biodiversitylibrary.org/itemtext/50517,Public domain. The BHL considers that this work is no longer under copyright protection.,,,,14539,1890_1909
BHL,50136,14180,New England bird life: being a manual of New England ornithology,"Stearns, Winfrid Alden, 1852-1909; Coues, Elliott, 1842-1899",ENG,1881,1880_1889,textbook_manual,0,general_or_unknown,ornithology,Birds; New England,pt.1 (1881),newenglandbirdli01stea,https://www.biodiversitylibrary.org/item/50136,https://www.biodiversitylibrary.org/itemtext/50136,Public domain. The BHL considers that this work is no longer under copyright protection.,,,,14180,1870_1889
BHL,50318,14408,"The mineral conchology of Great Britain; or, Coloured figures and descriptions of those remains of testaceous animals or shells, which have been preserved at various times and depths in the earth","Sowerby, James, 1757-1822; Farey, John, 1766-1826; Meredith, Benjamin,; Sowerby, Charles Edward, 1795-1842; Sowerby, James de Carle, 1787-1871; Taylor, Richard, 1781-1858; Arding and Merrett,; Arding, W., active 1821-; Longman, Rees, Orme, Brown, and Green,; Sherwood and Co. (London),; White and Co. (London),",ENG,1823,1800_1829,monograph_or_book,0,paleontology,animal;animals;conchology;paleontology,"Mollusks, Fossil; Great Britain; Paleontology; Pictorial works",v.5 (1823) [Lacks Plates],mineralconcholog51823sowe,https://www.biodiversitylibrary.org/item/50318,https://www.biodiversitylibrary.org/itemtext/50318,Public domain. The BHL considers that this work is no longer under copyright protection.,,,,14408,1800_1829
BHL,50460,7886,"A geographical bibliography of British ornithology from the earliest time to the end of 1918, arranged under counties, being a record of printed books, published articles, notes and records relating to local avifauna","Mullens, W. H. (William Herbert), 1866-1946; Jourdain, F. C. R. (Francis Charles Robert), 1865-1940; Swann, H. Kirke (Harry Kirke), 1871-1926",ENG,1920,1920_1929,monograph_or_book,0,natural_history_ecology_behavior,fauna;ornithology,Bibliography; Birds; Great Britain,,geographicalbibl00mul,https://www.biodiversitylibrary.org/item/50460,https://www.biodiversitylibrary.org/itemtext/50460,Public domain. The BHL considers that this work is no longer under copyright protection.,,,,7886,1910_1929
BHL,53839,15908,The fur trade of America,"Laut, Agnes C. (Agnes Christina), 1871-1936",ENG,1921,1920_1929,monograph_or_book,0,general_or_unknown,animal;animals,Fur-bearing animals; Fur trade; North America,,furtradeofameric00laut,https://www.biodiversitylibrary.org/item/53839,https://www.biodiversitylibrary.org/itemtext/53839,Public domain. The BHL considers that this work is no longer under copyright protection.,,,,15908,1910_1929
BHL,69567,27148,"Guide to the galleries of mammalia (mammalian, osteological, cetacean) in the Department of Zoology of the British Museum (Natural History)","British Museum (Natural History). Department of Zoology.; Günther, Albert C. L. G. (Albert Carl Ludwig Gotthilf), 1830-1914",ENG,1892,1890_1899,monograph_or_book,0,taxonomy_systematics,natural history;zoology,Catalogs and collections; Electronic books; Mammals,,guidetogalleries00britrich,https://www.biodiversitylibrary.org/item/69567,https://www.biodiversitylibrary.org/itemtext/69567,Public domain. The BHL considers that this work is no longer under copyright protection.,,,,27148,1890_1909
BHL,52114,15243,"The depths of the sea; an account of the general results of the  dredging cruises of H.M. SS. 'Porcupine' and 'Lightning' during the summers of 1868, 1869 and 1870, under the scientific direction of Dr. Carpenter, J. Gwyn Jeffreys, and Dr. Wyville Thomson","Thomson, C. Wyville, Sir, (Charles Wyville), 1830-1882; Carpenter, William Benjamin, 1813-1885; Jeffreys, John Gwyn 1809-1885",ENG,1874,1870_1879,monograph_or_book,0,taxonomy_systematics,animal;animals,Atlantic Ocean; Deep-sea temperature; Marine sediments; Lightning (Ship); Marine animals; North Atlantic Ocean; Ocean; Porcupine (Ship),2nd ed,depthsofseaaccou02thom,https://www.biodiversitylibrary.org/item/52114,https://www.biodiversitylibrary.org/itemtext/52114,Public domain. The BHL considers that this work is no longer under copyright protection.,,,,15243,1870_1889
