source,item_id,title_id,title,creators,language,year,period,genre,subfield,biology_hits,subjects,volume_info,barcode,item_url,item_text_url,copyright_status,rights_statement,license_type,rights_holder
BHL,16546,1582,List of the specimens of British animals in the collection of the British Museum,"British Museum (Natural History). Department of Zoology.; Denny, Henry, 1803-1871; Gray, George Robert, 1808-1872; Gray, John Edward 1800-1875; Shepherd, Edwin.; Smith, Frederick, 1805-1879; Stainton, H. T, (Henry Tibbats) 1822-1892; Stephens, James Francis, 1792-1853; White, Adam, 1817-1879",ENG,1856,1850_1859,catalogue_list,general_or_unknown,animal;animals;zoology,Animals; Great Britain; Zoology; Sponges,pt.5 (1856) [Lepidoptera],listofspecimenspt500brit,https://www.biodiversitylibrary.org/item/16546,https://www.biodiversitylibrary.org/itemtext/16546,Public domain. The BHL considers that this work is no longer under copyright protection.,,,
BHL,16706,6534,"Manual of conchology, structural and systematic : with illustrations of the species. Second series, Pulmonata","Tryon, George W., (George Washington), 1838-1888; Baker, H. Burrington (Horace Burrington), 1889-1971; Cooke, C. Montague (Charles Montague), 1874-1948; Hyatt, Alpheus, 1838-1902; Pilsbry, Henry Augustus, 1862-1957",ENG,1885,1880_1889,textbook_manual,taxonomy_systematics,conchology,Mollusks; Pulmonata; Pictorial works,ser.2:v.1 (1885),manualofconcholo01tryo,https://www.biodiversitylibrary.org/item/16706,https://www.biodiversitylibrary.org/itemtext/16706,Public domain. The BHL considers that this work is no longer under copyright protection.,,,
BHL,16731,6534,"Manual of conchology, structural and systematic : with illustrations of the species. Second series, Pulmonata","Tryon, George W., (George Washington), 1838-1888; Baker, H. Burrington (Horace Burrington), 1889-1971; Cooke, C. Montague (Charles Montague), 1874-1948; Hyatt, Alpheus, 1838-1902; Pilsbry, Henry Augustus, 1862-1957",ENG,1915,1910_1919,textbook_manual,taxonomy_systematics,conchology,Mollusks; Pulmonata; Pictorial works,ser.2:v.23 (1915-1916),manualofconcholo23tryo,https://www.biodiversitylibrary.org/item/16731,https://www.biodiversitylibrary.org/itemtext/16731,Public domain. The BHL considers that this work is no longer under copyright protection.,,,
BHL,16743,1682,"Zoological articles contributed to the ""Encyclopaedia Britannica""","Lankester, E. Ray Sir, (Edwin Ray), 1847-1929",ENG,1891,1890_1899,monograph_or_book,general_or_unknown,zoology,Zoology,,zoologicalarticl00lank,https://www.biodiversitylibrary.org/item/16743,https://www.biodiversitylibrary.org/itemtext/16743,Public domain.  The BHL considers that this work is no longer under copyright protection.,,,
BHL,15562,965,"Adephagous and clavicorn Coleoptera from the Tertiary deposits at Florissant, Colorado, with descriptions of a few other forms and a systematic list of the nonrhynchophorous Tertiary Coleoptera of North America","Scudder, Samuel Hubbard, 1837-1911",ENG,1900,1900_1909,catalogue_list,paleontology,paleontology,"Beetles, Fossil; Paleontology; Tertiary",v.40 (1900),adephagousclavic00scud,https://www.biodiversitylibrary.org/item/15562,https://www.biodiversitylibrary.org/itemtext/15562,Public domain.  The BHL considers that this work is no longer under copyright protection.,,,
BHL,15619,991,"The morphology and evolutional significance of the pineal body : being part I of a contribution to the study of the epiphysis cerebri with an interpretation of the morphological, physiological and clinical evidence","Tilney, Frederick, 1875-1938; Warren, Luther Fiske, 1885-",ENG,1919,1910_1919,monograph_or_book,evolution_adaptation,evolution;morphology,Pineal gland,,morphologyevolut00tiln,https://www.biodiversitylibrary.org/item/15619,https://www.biodiversitylibrary.org/itemtext/15619,Public domain.  The BHL considers that this work is no longer under copyright protection.,,,
BHL,15653,61507,A laboratory manual for comparative vertebrate anatomy,"Hyman, Libbie Henrietta, 1888-1969",ENG,1922,1920_1929,textbook_manual,comparative_anatomy_morphology,anatomy,"Anatomy, Comparative; Laboratory manuals",,laboratorymanual00hyma,https://www.biodiversitylibrary.org/item/15653,https://www.biodiversitylibrary.org/itemtext/15653,Public domain.  The BHL considers that this work is no longer under copyright protection.,,,
BHL,15674,1028,"Guide to the study of animal ecology,  by Charles C. Adams","Adams, Charles C. (Charles Christopher), 1873-1955",ENG,1913,1910_1919,monograph_or_book,natural_history_ecology_behavior,animal,Animal ecology,,guidetostudyofan00adam,https://www.biodiversitylibrary.org/item/15674,https://www.biodiversitylibrary.org/itemtext/15674,Public domain.  The BHL considers that this work is no longer under copyright protection.,,,
BHL,15712,1056,... The dogfish (Acanthias); an elasmobranch,"Kingsley, J. S. (John Sterling), 1854-1929",ENG,1907,1900_1909,monograph_or_book,general_or_unknown,zoology,Dissection; Laboratory manuals; Zoology; Sharks,,dogfishacanthias00king,https://www.biodiversitylibrary.org/item/15712,https://www.biodiversitylibrary.org/itemtext/15712,Public domain.  The BHL considers that this work is no longer under copyright protection.,,,
BHL,15795,1104,Synopsis of the classification of the animal kingdom,"Nicholson, Henry Alleyne, 1844-1899",ENG,1882,1880_1889,monograph_or_book,taxonomy_systematics,animal;classification;zoology,Classification; Zoology,,synopsisofclassi00nich,https://www.biodiversitylibrary.org/item/15795,https://www.biodiversitylibrary.org/itemtext/15795,Public domain.  The BHL considers that this work is no longer under copyright protection.,,,
BHL,15812,1091,The Cambridge natural history,"Harmer, S. F. (Sidney Frederic), 1862-1950; Shipley, A. E. Sir, (Arthur Everett), 1861-1927",ENG,1909,1900_1909,monograph_or_book,natural_history_ecology_behavior,natural history;zoology,Zoology; Zoologia Geral,v.8 (1901) [1909 reprint],cambridgenatural08harm,https://www.biodiversitylibrary.org/item/15812,https://www.biodiversitylibrary.org/itemtext/15812,Public domain. The BHL considers that this work is no longer under copyright protection.,,,
BHL,15819,1091,The Cambridge natural history,"Harmer, S. F. (Sidney Frederic), 1862-1950; Shipley, A. E. Sir, (Arthur Everett), 1861-1927",ENG,1904,1900_1909,monograph_or_book,natural_history_ecology_behavior,natural history;zoology,Zoology; Zoologia Geral,v.7 (1904),cambridgenatural07harm,https://www.biodiversitylibrary.org/item/15819,https://www.biodiversitylibrary.org/itemtext/15819,Public domain. The BHL considers that this work is no longer under copyright protection.,,,
BHL,15892,1143,Nomenclator zoologicus. An alphabetical list of all generic names that have been employed by naturalists for recent and fossil animals from the earliest times to the close of the year 1879 ...,"Scudder, Samuel Hubbard, 1837-1911",ENG,1882,1880_1889,catalogue_list,paleontology,animal;animals;zoology,Nomenclature; Zoology,,nomenclatorzoolo00scud,https://www.biodiversitylibrary.org/item/15892,https://www.biodiversitylibrary.org/itemtext/15892,Public domain.  The BHL considers that this work is no longer under copyright protection.,,,
BHL,16721,12293,A student's text-book of zoology,"Sedgwick, Adam, 1854-1913; Lister, Joseph Jackson, 1857-1927; Shipley, A. E. Sir, (Arthur Everett), 1861-1927",ENG,1898,1890_1899,textbook_manual,general_or_unknown,zoology,Zoology,v.1 (1898),studentstextbook0101sedg,https://www.biodiversitylibrary.org/item/16721,https://www.biodiversitylibrary.org/itemtext/16721,Public domain.  The BHL considers that this work is no longer under copyright protection.,,,
BHL,16725,8147,"The anatomy, physiology, morphology and development of the blow- fly (Calliphora erythrocephala), A study in the comparative anatomy and morphology of insects; with plates and illustrations executed directly from the drawings of the author","Lowne, B. T. (Benjamin Thompson), 1839-1925",ENG,1890,1890_1899,monograph_or_book,comparative_anatomy_morphology,anatomy;comparative anatomy;morphology;physiology,Blowflies,v.1 (1890-1892),anatomyphysiolog01lown,https://www.biodiversitylibrary.org/item/16725,https://www.biodiversitylibrary.org/itemtext/16725,Public domain.  The BHL considers that this work is no longer under copyright protection.,,,
BHL,16763,1697,Zoology for high schools and colleges,"Packard, A. S. (Alpheus Spring), 1839-1905",ENG,1880,1880_1889,monograph_or_book,general_or_unknown,zoology,1758-1900; Zoology,,zoologyforhighsc1880pack,https://www.biodiversitylibrary.org/item/16763,https://www.biodiversitylibrary.org/itemtext/16763,Public domain.  The BHL considers that this work is no longer under copyright protection.,,,
BHL,16848,1322,A history of the British hydroid zoophytes,"Hincks, Thomas, 1818-1899",ENG,1868,1860_1869,monograph_or_book,general_or_unknown,animal;animals,Great Britain; Marine animals; Hydroida; Hydromedusae,2,historyofbritish02hinc,https://www.biodiversitylibrary.org/item/16848,https://www.biodiversitylibrary.org/itemtext/16848,Public domain.  The BHL considers that this work is no longer under copyright protection.,,,
BHL,16858,1776,A text-book of zoology,"Parker, T. Jeffery (Thomas Jeffery), 1850-1897; Haswell, William Aitcheson 1854-1925",ENG,1897,1890_1899,textbook_manual,general_or_unknown,zoology,Zoology,1,textbookofzoolog1897v01park,https://www.biodiversitylibrary.org/item/16858,https://www.biodiversitylibrary.org/itemtext/16858,Public domain.  The BHL considers that this work is no longer under copyright protection.,,,
BHL,16867,1783,"Introduction to zoology; a guide to the study of animals, for the use of secondary schools","Davenport, Charles Benedict, 1866-1944; Davenport, Gertrude Anna Crotty, 1866-",ENG,1900,1900_1909,textbook_manual,general_or_unknown,animal;animals;zoology,Zoology,,introductiontozo00dave,https://www.biodiversitylibrary.org/item/16867,https://www.biodiversitylibrary.org/itemtext/16867,Public domain.  The BHL considers that this work is no longer under copyright protection.,,,
BHL,16873,3746,Text-book of the embryology of man and mammals,"Hertwig, Oscar, 1849-1922; Mark, E. L. (Edward Laurens), 1847-1946",ENG,1892,1890_1899,textbook_manual,embryology_development,embryology,Embryology,,textbookofembryo1892hert,https://www.biodiversitylibrary.org/item/16873,https://www.biodiversitylibrary.org/itemtext/16873,Public domain.  The BHL considers that this work is no longer under copyright protection.,,,
BHL,16883,1790,A first lesson in natural history,"Agassiz, Elizabeth Cabot Cary, 1822-1907",ENG,1899,1890_1899,monograph_or_book,natural_history_ecology_behavior,animal;animals;natural history,Corals; Juvenile literature; Marine animals; Jellyfishes,,firstlessoninnat00agas,https://www.biodiversitylibrary.org/item/16883,https://www.biodiversitylibrary.org/itemtext/16883,Public domain.  The BHL considers that this work is no longer under copyright protection.,,,
BHL,17099,1890,The conquest of disease through animal experimentation,"Warbasse, James Peter, 1866-1957",ENG,1910,1910_1919,monograph_or_book,general_or_unknown,animal;animals,"Animals, Laboratory; Vivisection",,conquestofdiseas00warb,https://www.biodiversitylibrary.org/item/17099,https://www.biodiversitylibrary.org/itemtext/17099,Public domain.  The BHL considers that this work is no longer under copyright protection.,,,
BHL,17101,1891,Animal mechanism: a treatise on terrestrial and aerial locomotion,"Marey, Etienne-Jules, 1830-1904",ENG,1879,1870_1879,monograph_or_book,general_or_unknown,animal,Animal locomotion,,animalmechanismt00mare,https://www.biodiversitylibrary.org/item/17101,https://www.biodiversitylibrary.org/itemtext/17101,Public domain.  The BHL considers that this work is no longer under copyright protection.,,,
BHL,18237,210584,Contributions to embryology,Carnegie Institution of Washington,ENG,1917,1910_1919,monograph_or_book,embryology_development,embryology,Embryology,no.225=v.5 (1917),carnegieinstitut225carn,https://www.biodiversitylibrary.org/item/18237,https://www.biodiversitylibrary.org/itemtext/18237,Public domain. The BHL considers that this work is no longer under copyright protection.,,,
BHL,18344,2079,"Zoology of New York; or, The New York Fauna; comprising detailed descriptions of all the animals hitherto observed within the state of New York, with brief notices of those occasionally found near its borders, and accompanied by appropriate illustrations","De Kay, James E. (James Ellsworth), 1792-1851; Seward, William H. (William Henry), 1801-1872",ENG,1842,1830_1849,monograph_or_book,natural_history_ecology_behavior,animal;animals;fauna;natural history;zoology,Natural history; New York (State); Zoology,Introduction,zoologyofnewyork00deka,https://www.biodiversitylibrary.org/item/18344,https://www.biodiversitylibrary.org/itemtext/18344,Public domain.  The BHL considers that this work is no longer under copyright protection.,,,
BHL,18350,2079,"Zoology of New York; or, The New York Fauna; comprising detailed descriptions of all the animals hitherto observed within the state of New York, with brief notices of those occasionally found near its borders, and accompanied by appropriate illustrations","De Kay, James E. (James Ellsworth), 1792-1851; Seward, William H. (William Henry), 1801-1872",ENG,1842,1830_1849,monograph_or_book,natural_history_ecology_behavior,animal;animals;fauna;natural history;zoology,Natural history; New York (State); Zoology,"Part 2, Birds",zoologyofnewyork02deka,https://www.biodiversitylibrary.org/item/18350,https://www.biodiversitylibrary.org/itemtext/18350,Public domain.  The BHL considers that this work is no longer under copyright protection.,,,
BHL,18359,2079,"Zoology of New York; or, The New York Fauna; comprising detailed descriptions of all the animals hitherto observed within the state of New York, with brief notices of those occasionally found near its borders, and accompanied by appropriate illustrations","De Kay, James E. (James Ellsworth), 1792-1851; Seward, William H. (William Henry), 1801-1872",ENG,1842,1830_1849,monograph_or_book,natural_history_ecology_behavior,animal;animals;fauna;natural history;zoology,Natural history; New York (State); Zoology,"Part 3, Reptiles-Text",zoologyofnewyork03deka,https://www.biodiversitylibrary.org/item/18359,https://www.biodiversitylibrary.org/itemtext/18359,Public domain.  The BHL considers that this work is no longer under copyright protection.,,,
BHL,18369,6513,"Report on the scientific results of the voyage of H.M.S. Challenger during the years 1873-76 under the command of Captain George S. Nares ... and the late Captain Frank Tourle Thomson, R.N","Challenger Expedition (1872-1876); Great Britain. Challenger Office.; Buchan, Alexander, 1829-1907; Huxley, Thomas Henry, 1825-1895; Murray, John, Sir, 1841-1914; Nares, George S. Sir (George Strong), 1831-1915; Pelseneer, Paul, 1863-1945; Thomson, C. Wyville, Sir, (Charles Wyville), 1830-1882; Thomson, Frank Tourle; Challenger (Ship)",ENG,1885,1880_1889,monograph_or_book,general_or_unknown,animal;animals,"(1872-1876); Challenger Expedition, 1872-1876; Challenger Expedition; Marine animals; Ocean; Scientific Expeditions; Scientific Reports",Botany v.1=pt.1-3 (1885),reportonscientif188501grea,https://www.biodiversitylibrary.org/item/18369,https://www.biodiversitylibrary.org/itemtext/18369,Public domain. The BHL considers that this work is no longer under copyright protection.,,,
BHL,18429,7345,Report of the United States Geological Survey of the territories,"Geological and Geographical Survey of the Territories (U.S.); Allen, J. A. (Joel Asaph), 1838-1921; Cope, E. D. (Edward Drinker), 1840-1897; Coues, Elliott, 1842-1899; Hayden, F. V. (Ferdinand Vandeveer), 1829-1887; Leidy, Joseph, 1823-1891; Lesquereux, Léo, 1806-1889; Meek, F. B. (Fielding Bradford), 1817-1876; Packard, A. S. (Alpheus Spring), 1839-1905; Scudder, Samuel Hubbard, 1837-1911; Thomas, Cyrus, 1825-1910",ENG,1873,1870_1879,monograph_or_book,paleontology,paleontology;zoology,Paleobotany; Paleontology; Zoology; Western states,12,reportofunitedst12geol,https://www.biodiversitylibrary.org/item/18429,https://www.biodiversitylibrary.org/itemtext/18429,Public domain.  The BHL considers that this work is no longer under copyright protection.,,,
BHL,18430,7345,Report of the United States Geological Survey of the territories,"Geological and Geographical Survey of the Territories (U.S.); Allen, J. A. (Joel Asaph), 1838-1921; Cope, E. D. (Edward Drinker), 1840-1897; Coues, Elliott, 1842-1899; Hayden, F. V. (Ferdinand Vandeveer), 1829-1887; Leidy, Joseph, 1823-1891; Lesquereux, Léo, 1806-1889; Meek, F. B. (Fielding Bradford), 1817-1876; Packard, A. S. (Alpheus Spring), 1839-1905; Scudder, Samuel Hubbard, 1837-1911; Thomas, Cyrus, 1825-1910",ENG,1873,1870_1879,monograph_or_book,paleontology,paleontology;zoology,Paleobotany; Paleontology; Zoology; Western states,6,reportofunitedst06geol,https://www.biodiversitylibrary.org/item/18430,https://www.biodiversitylibrary.org/itemtext/18430,Public domain.  The BHL considers that this work is no longer under copyright protection.,,,
BHL,15643,1006,Elements of the comparative anatomy of vertebrates,"Wiedersheim, Robert, 1848-1923; Parker, W. N. (William Newton), 1857-1923",ENG,1886,1880_1889,monograph_or_book,comparative_anatomy_morphology,anatomy;comparative anatomy,"Anatomy; Anatomy, Comparative; Vertebrates",,elementsofcompar00wied,https://www.biodiversitylibrary.org/item/15643,https://www.biodiversitylibrary.org/itemtext/15643,Public domain.  The BHL considers that this work is no longer under copyright protection.,,,
