source,item_id,title_id,title,creators,language,year,period,genre,subfield,biology_hits,subjects,volume_info,barcode,item_url,item_text_url,copyright_status,rights_statement,license_type,rights_holder
BHL,55014,16281,"Odontography; or, A treatise on the comparative anatomy of the teeth; their physiological relations, mode of development, and microscopic structure, in the vertebrate animals","Owen, Richard, 1804-1892",ENG,1840,1830_1849,monograph_or_book,comparative_anatomy_morphology,anatomy;animal;animals;comparative anatomy,Teeth,v.1 (1840-1845),odontographyortr01owen,https://www.biodiversitylibrary.org/item/55014,https://www.biodiversitylibrary.org/itemtext/55014,Public domain. The BHL considers that this work is no longer under copyright protection.,,,
BHL,55025,16217,Quarterly journal of conchology,,ENG,1874,1870_1879,journal_or_proceedings_volume,general_or_unknown,conchology,Mollusks; Periodicals,v.1:[no.1] (1874);v.1 [Index] (1874-1878),quarterlyjournal11lond,https://www.biodiversitylibrary.org/item/55025,https://www.biodiversitylibrary.org/itemtext/55025,Public domain. The BHL considers that this work is no longer under copyright protection.,,,
BHL,55127,11516,Transactions of the Entomological Society of London,Royal Entomological Society of London,ENG,1850,1850_1859,journal_or_proceedings_volume,general_or_unknown,entomology,Entomology; Periodicals,new ser.:v.1 (1850-1851),transactionsofen1185051roya,https://www.biodiversitylibrary.org/item/55127,https://www.biodiversitylibrary.org/itemtext/55127,Public domain. The BHL considers that this work is no longer under copyright protection.,,,
BHL,55137,16330,"The depths of the sea. An account of the general results of the dredging cruises of H.M. SS. Porcupine and Lightning during the summers of 1868, 1869 and 1870, under the scientific direction of Dr. Carpenter, F.R.S., J. Gwyn Jeffreys, F.R.S., and Dr. Wyville Thomson, F.R.S","Thomson, C. Wyville, Sir, (Charles Wyville), 1830-1882; Carpenter, William Benjamin, 1813-1885; Jeffreys, John Gwyn 1809-1885",ENG,1873,1870_1879,monograph_or_book,taxonomy_systematics,animal;animals,Atlantic Ocean; Deep-sea desposits; Deep-sea temperature; Lightning (Ship); Marine animals; Ocean; Porcupine (Ship),,depthsofseaaccou00tho,https://www.biodiversitylibrary.org/item/55137,https://www.biodiversitylibrary.org/itemtext/55137,Public domain. The BHL considers that this work is no longer under copyright protection.,,,
BHL,55162,8115,Ibis,British Ornithologists' Union,ENG,1919,1910_1919,monograph_or_book,general_or_unknown,ornithology,Avifaune; Birds; Computer network resources; Ornithology; Ornithologie; Periodicals; oiseau; Périodique électronique (Descripteur de forme); Ressource Internet (Descripteur de forme),ser.11:v.1=no.[1-4] (1919),ibis1111919brit,https://www.biodiversitylibrary.org/item/55162,https://www.biodiversitylibrary.org/itemtext/55162,Public domain. The BHL considers that this work is no longer under copyright protection.,,,
BHL,55188,16343,Birds and nature,,ENG,1900,1900_1909,monograph_or_book,natural_history_ecology_behavior,natural history,Birds; Natural history; Periodicals,v.8:no.4 (1900),birdsnature841900chic,https://www.biodiversitylibrary.org/item/55188,https://www.biodiversitylibrary.org/itemtext/55188,Public domain. The BHL considers that this work is no longer under copyright protection.,,,
BHL,55193,16343,Birds and nature,,ENG,1900,1900_1909,monograph_or_book,natural_history_ecology_behavior,natural history,Birds; Natural history; Periodicals,v.8:no.3 (1900),birdsnature831900chic,https://www.biodiversitylibrary.org/item/55193,https://www.biodiversitylibrary.org/itemtext/55193,Public domain. The BHL considers that this work is no longer under copyright protection.,,,
BHL,55201,16343,Birds and nature,,ENG,1900,1900_1909,monograph_or_book,natural_history_ecology_behavior,natural history,Birds; Natural history; Periodicals,v.8:no.2 (1900),birdsnature821900chic,https://www.biodiversitylibrary.org/item/55201,https://www.biodiversitylibrary.org/itemtext/55201,Public domain. The BHL considers that this work is no longer under copyright protection.,,,
BHL,55213,16342,"British conchology, or, An account of the Mollusca which now inhabit the British Isles and the surrounding seas","Jeffreys, John Gwyn 1809-1885; Sowerby, G. B. (George Brettingham), 1812-1884; Sowerby, W.",ENG,1867,1860_1869,monograph_or_book,general_or_unknown,conchology,Great Britain; Mollusks; Pictorial works; Shells,v.4 (1867),britishconcholog04jeffr,https://www.biodiversitylibrary.org/item/55213,https://www.biodiversitylibrary.org/itemtext/55213,Public domain. The BHL considers that this work is no longer under copyright protection.,,,
BHL,72076,15774,"The Annals and magazine of natural history; zoology, botany, and geology",,ENG,1840,1830_1849,journal_or_proceedings_volume,natural_history_ecology_behavior,natural history;zoology,Botany; Geology; Natural history; Zoology,v.6=no.34-40 (1840-1841) [Lacks:Plate],annalsmagazineof06londuoft,https://www.biodiversitylibrary.org/item/72076,https://www.biodiversitylibrary.org/itemtext/72076,Public domain. The BHL considers that this work is no longer under copyright protection.,,,
BHL,55640,8115,Ibis,British Ornithologists' Union,ENG,1873,1870_1879,monograph_or_book,general_or_unknown,ornithology,Avifaune; Birds; Computer network resources; Ornithology; Ornithologie; Periodicals; oiseau; Périodique électronique (Descripteur de forme); Ressource Internet (Descripteur de forme),ser.3:v.3=no.9-12;Suppl.:v.3 (1873),ibis331873brit,https://www.biodiversitylibrary.org/item/55640,https://www.biodiversitylibrary.org/itemtext/55640,Public domain. The BHL considers that this work is no longer under copyright protection.,,,
BHL,66912,118872,"Guide to the coral gallery (Protozoa, Porifera or sponges, Hydrozoa, and Anthozoa) : in the Department of Zoology, British Museum (Natural History) ...","British Museum (Natural History). Department of Zoology.; Bell, F. J. (Francis Jeffrey), 1855-1924; Kirkpatrick, Randolph, 1863-",ENG,1907,1900_1909,monograph_or_book,natural_history_ecology_behavior,natural history;zoology,Corals; Electronic books; Protozoa; Porifera,,guidetocoralgall00brituoft,https://www.biodiversitylibrary.org/item/66912,https://www.biodiversitylibrary.org/itemtext/66912,Public domain. The BHL considers that this work is no longer under copyright protection.,,,
BHL,54184,16033,"Materials for a carcinological fauna of India, no. 1-2...","Alcock, A. (Alfred), 1859-1933",ENG,1896,1890_1899,monograph_or_book,natural_history_ecology_behavior,fauna,Crabs,no.2 (1896),materialsforcarc12alco,https://www.biodiversitylibrary.org/item/54184,https://www.biodiversitylibrary.org/itemtext/54184,Public domain. The BHL considers that this work is no longer under copyright protection.,,,
BHL,54211,16046,Elements of conchology : an introduction to the natural history of shells and of the animals which form them,"Reeve, Lowell Augustus 1814-1865; Sowerby, G. B. (George Brettingham), 1812-1884; Adams, Arthur, 1820-1878; Brooks, Vincent, 1815?-1885",ENG,1860,1860_1869,textbook_manual,taxonomy_systematics,animal;animals;classification;conchology;natural history,Classification; Mollusks,,elementsofconcho00reev,https://www.biodiversitylibrary.org/item/54211,https://www.biodiversitylibrary.org/itemtext/54211,Public domain. The BHL considers that this work is no longer under copyright protection.,,,
BHL,54278,16061,The conchologist's companion,"Roberts, Mary, 1788-1864",ENG,1834,1830_1849,monograph_or_book,general_or_unknown,animal;animals,Marine animals; Mollusks; Pearls; Shells,,conchologistscom00robe,https://www.biodiversitylibrary.org/item/54278,https://www.biodiversitylibrary.org/itemtext/54278,Public domain. The BHL considers that this work is no longer under copyright protection.,,,
BHL,54281,15774,"The Annals and magazine of natural history; zoology, botany, and geology",,ENG,1895,1890_1899,journal_or_proceedings_volume,natural_history_ecology_behavior,natural history;zoology,Botany; Geology; Natural history; Zoology,ser.6:v.15=no.85-90 (1895),annalsmagazineof6151895lond,https://www.biodiversitylibrary.org/item/54281,https://www.biodiversitylibrary.org/itemtext/54281,Public domain. The BHL considers that this work is no longer under copyright protection.,,,
BHL,54294,15774,"The Annals and magazine of natural history; zoology, botany, and geology",,ENG,1883,1880_1889,journal_or_proceedings_volume,natural_history_ecology_behavior,natural history;zoology,Botany; Geology; Natural history; Zoology,ser.5:v.12=no.67-72 (1883),annalsmagazineof5121883lond,https://www.biodiversitylibrary.org/item/54294,https://www.biodiversitylibrary.org/itemtext/54294,Public domain. The BHL considers that this work is no longer under copyright protection.,,,
BHL,54332,1091,The Cambridge natural history,"Harmer, S. F. (Sidney Frederic), 1862-1950; Shipley, A. E. Sir, (Arthur Everett), 1861-1927",ENG,1909,1900_1909,monograph_or_book,natural_history_ecology_behavior,natural history;zoology,Zoology; Zoologia Geral,v.4 (1909),cambridgenatural41909harm,https://www.biodiversitylibrary.org/item/54332,https://www.biodiversitylibrary.org/itemtext/54332,Public domain. The BHL considers that this work is no longer under copyright protection.,,,
BHL,54349,16091,The aquarium,"Mulertt, Hugo",ENG,1895,1890_1899,monograph_or_book,general_or_unknown,animal;animals,Aquarium animals; Aquarium fishes; Aquariums; Periodicals,v.3:no.35 (1895:Apr.),aquarium3351895mule,https://www.biodiversitylibrary.org/item/54349,https://www.biodiversitylibrary.org/itemtext/54349,Public domain. The BHL considers that this work is no longer under copyright protection.,,,
BHL,54413,16091,The aquarium,"Mulertt, Hugo",ENG,1896,1890_1899,monograph_or_book,general_or_unknown,animal;animals,Aquarium animals; Aquarium fishes; Aquariums; Periodicals,v.4:no.40 (1896:Jul.),aquarium4401896mule,https://www.biodiversitylibrary.org/item/54413,https://www.biodiversitylibrary.org/itemtext/54413,Public domain. The BHL considers that this work is no longer under copyright protection.,,,
BHL,54443,7537,"Memoirs of the Museum of Comparative Zoölogy, at Harvard College, Cambridge, Mass",Harvard University. Museum of Comparative Zoology.; Harvard University. Museum of Comparative Zoology.,ENG,1876,1870_1879,journal_or_proceedings_volume,general_or_unknown,zoology,Zoology,v.4:no.10 (1876),mobot31753003566012,https://www.biodiversitylibrary.org/item/54443,https://www.biodiversitylibrary.org/itemtext/54443,Public domain. The BHL considers that this work is no longer under copyright protection.,,,
BHL,54514,40488,The royal natural history,"Lydekker, Richard, 1849-1915; Sclater, Philip Lutley, 1829-1913",ENG,1893,1890_1899,monograph_or_book,natural_history_ecology_behavior,natural history;zoology,Natural history; Pictorial works; Zoology,v.2:sect.3 (1894),royalnaturalhist23lyde,https://www.biodiversitylibrary.org/item/54514,https://www.biodiversitylibrary.org/itemtext/54514,Public domain. The BHL considers that this work is no longer under copyright protection.,,,
BHL,54555,15774,"The Annals and magazine of natural history; zoology, botany, and geology",,ENG,1872,1870_1879,journal_or_proceedings_volume,natural_history_ecology_behavior,natural history;zoology,Botany; Geology; Natural history; Zoology,ser.4:v.9=no.49-54 (1872),annalsmagazineof491872lond,https://www.biodiversitylibrary.org/item/54555,https://www.biodiversitylibrary.org/itemtext/54555,Public domain. The BHL considers that this work is no longer under copyright protection.,,,
BHL,54556,15774,"The Annals and magazine of natural history; zoology, botany, and geology",,ENG,1850,1850_1859,journal_or_proceedings_volume,natural_history_ecology_behavior,natural history;zoology,Botany; Geology; Natural history; Zoology,ser.2:v.6=no.31-36 (1850),annalsmagazineof261850lond,https://www.biodiversitylibrary.org/item/54556,https://www.biodiversitylibrary.org/itemtext/54556,Public domain. The BHL considers that this work is no longer under copyright protection.,,,
BHL,54597,16176,The Journal of malacology,,ENG,1903,1900_1909,journal_or_proceedings_volume,general_or_unknown,malacology,,v.10-11 (1903-1904),journalofmalacol1011190304lond,https://www.biodiversitylibrary.org/item/54597,https://www.biodiversitylibrary.org/itemtext/54597,Public domain. The BHL considers that this work is no longer under copyright protection.,,,
BHL,65563,24285,"Systematic list of the Frederick E. Edwards collection of British oligocene and eocene Mollusca in the British Museum (Natural History), with references to the type-specimens from similar horizons contained in other collections belonging to the Geological Department of the Museum","British Museum (Natural History). Department of Geology.; Edwards, Frederic Erasmus, 1799-1875; Newton, Richard Bullen, 1854-",ENG,1891,1890_1899,catalogue_list,paleontology,natural history;paleontology,"Eocene; Mollusks, Fossil; Paleontology; Oligocene",,systematiclistof00brituoft,https://www.biodiversitylibrary.org/item/65563,https://www.biodiversitylibrary.org/itemtext/65563,Public domain. The BHL considers that this work is no longer under copyright protection.,,,
BHL,54699,16203,Entomological notes,"Scudder, Samuel Hubbard, 1837-1911",ENG,1868,1860_1869,monograph_or_book,general_or_unknown,entomology,Entomology,,entomologicalnot00scud,https://www.biodiversitylibrary.org/item/54699,https://www.biodiversitylibrary.org/itemtext/54699,Public domain. The BHL considers that this work is no longer under copyright protection.,,,
BHL,54951,16217,Quarterly journal of conchology,,ENG,1878,1870_1879,journal_or_proceedings_volume,general_or_unknown,conchology,Mollusks; Periodicals,v.1:no.16 (1878:Aug.),quarterlyjournal116lond,https://www.biodiversitylibrary.org/item/54951,https://www.biodiversitylibrary.org/itemtext/54951,Public domain. The BHL considers that this work is no longer under copyright protection.,,,
BHL,54952,16217,Quarterly journal of conchology,,ENG,1878,1870_1879,journal_or_proceedings_volume,general_or_unknown,conchology,Mollusks; Periodicals,v.1:no.15 (1878:May),quarterlyjournal115lond,https://www.biodiversitylibrary.org/item/54952,https://www.biodiversitylibrary.org/itemtext/54952,Public domain. The BHL considers that this work is no longer under copyright protection.,,,
BHL,54954,16217,Quarterly journal of conchology,,ENG,1874,1870_1879,journal_or_proceedings_volume,general_or_unknown,conchology,Mollusks; Periodicals,v.1:no.2 (1874:May),quarterlyjournal12lond,https://www.biodiversitylibrary.org/item/54954,https://www.biodiversitylibrary.org/itemtext/54954,Public domain. The BHL considers that this work is no longer under copyright protection.,,,
BHL,54961,16217,Quarterly journal of conchology,,ENG,1874,1870_1879,journal_or_proceedings_volume,general_or_unknown,conchology,Mollusks; Periodicals,v.1:no.13 (1877:Nov.),quarterlyjournal113lond,https://www.biodiversitylibrary.org/item/54961,https://www.biodiversitylibrary.org/itemtext/54961,Public domain. The BHL considers that this work is no longer under copyright protection.,,,
BHL,54996,9426,Annals of the Entomological Society of America,Entomological Society of America; Entomological Society of America,ENG,1911,1910_1919,journal_or_proceedings_volume,general_or_unknown,entomology,Electronic journals; Entomologie; Entomology; Periodicals,v.4 (1911),annalsofentomolo41911entomol,https://www.biodiversitylibrary.org/item/54996,https://www.biodiversitylibrary.org/itemtext/54996,Public domain. The BHL considers that this work is no longer under copyright protection.,,,
BHL,55022,8115,Ibis,British Ornithologists' Union,ENG,1889,1880_1889,monograph_or_book,general_or_unknown,ornithology,Avifaune; Birds; Computer network resources; Ornithology; Ornithologie; Periodicals; oiseau; Périodique électronique (Descripteur de forme); Ressource Internet (Descripteur de forme),ser.6:v.6=no.21-24;Index v.1-6 (1889-1894),ibis661894188994brit,https://www.biodiversitylibrary.org/item/55022,https://www.biodiversitylibrary.org/itemtext/55022,Public domain. The BHL considers that this work is no longer under copyright protection.,,,
BHL,55138,11516,Transactions of the Entomological Society of London,Royal Entomological Society of London,ENG,1916,1910_1919,journal_or_proceedings_volume,general_or_unknown,entomology,Entomology; Periodicals,1916,transactionsofen1916roya,https://www.biodiversitylibrary.org/item/55138,https://www.biodiversitylibrary.org/itemtext/55138,Public domain. The BHL considers that this work is no longer under copyright protection.,,,
BHL,55172,15774,"The Annals and magazine of natural history; zoology, botany, and geology",,ENG,1898,1890_1899,journal_or_proceedings_volume,natural_history_ecology_behavior,natural history;zoology,Botany; Geology; Natural history; Zoology,ser.7:v.2=no.7-12 (1898),annalsmagazineof721898lond,https://www.biodiversitylibrary.org/item/55172,https://www.biodiversitylibrary.org/itemtext/55172,Public domain. The BHL considers that this work is no longer under copyright protection.,,,
BHL,55212,16339,"American marine conchology, or, Descriptions of the shells of the Atlantic coast of the United States from Maine to Florida","Tryon, George W., (George Washington), 1838-1888",ENG,1873,1870_1879,monograph_or_book,general_or_unknown,conchology,Mollusks; United States,,americanmarineco01tryo,https://www.biodiversitylibrary.org/item/55212,https://www.biodiversitylibrary.org/itemtext/55212,Public domain. The BHL considers that this work is no longer under copyright protection.,,,
BHL,59975,164031,Bibliography of the more important contributions to American economic entomology,"United States. Bureau of Entomology.; Banks, Nathan, 1868-1953; Henshaw, Samuel, 1852-1941",ENG,1889,1880_1889,monograph_or_book,general_or_unknown,entomology,"1843-1895; (Charles Valentine),; 1808-1869; Bibliography; Insects; Insects, Injurious and beneficial; United States; Riley, Charles V; Walsh, Benjamin Dana,",pt.1-pt.3 (1889-1890),bibliographyofmo00unitiala,https://www.biodiversitylibrary.org/item/59975,https://www.biodiversitylibrary.org/itemtext/59975,Public domain. The BHL considers that this work is no longer under copyright protection.,,,
BHL,53723,15882,A preliminary report on the geology of Louisiana,"Harris, Gilbert D. (Gilbert Dennison), 1864-1952; Atkinson, George Francis, 1854-1918; Hollick, Charles Arthur, 1857-1933; Ries, Heinrich, 1871-1951; Veatch, A. C. (Arthur Clifford),‏ 1878-1938",ENG,1899,1890_1899,monograph_or_book,paleontology,paleontology,Agriculture; Cretaceous; Eocene; Louisiana; Geology; Paleontology; Paleobotany,,preliminaryrepor00har,https://www.biodiversitylibrary.org/item/53723,https://www.biodiversitylibrary.org/itemtext/53723,Public domain. The BHL considers that this work is no longer under copyright protection.,,,
BHL,53815,15900,American journal of conchology,"Tryon, George W., (George Washington), 1838-1888; Academy of Natural Sciences of Philadelphia. Conchological Section.",ENG,1866,1860_1869,journal_or_proceedings_volume,general_or_unknown,conchology,Mollusks; Periodicals,v.2 (1866),americanjournalo21866tryo,https://www.biodiversitylibrary.org/item/53815,https://www.biodiversitylibrary.org/itemtext/53815,Public domain. The BHL considers that this work is no longer under copyright protection.,,,
BHL,53957,46703,A monograph of the seal-islands of Alaska,"Elliott, Henry Wood, 1846-1930",ENG,1882,1880_1889,monograph_or_book,taxonomy_systematics,animal;animals,Seals (Animals); Pribilof Islands (Alaska); Pribilof Islands; Sealing,,monographofseali01elli,https://www.biodiversitylibrary.org/item/53957,https://www.biodiversitylibrary.org/itemtext/53957,Public domain. The BHL considers that this work is no longer under copyright protection.,,,
BHL,54061,15996,"Conchologia systematica, or Complete system of conchology: in which the Lepades and conchiferous Mollusca are described and classified according to their natural organization and habits","Reeve, Lowell Augustus 1814-1865; Sowerby, G. B. (George Brettingham), 1812-1884",ENG,1842,1830_1849,monograph_or_book,natural_history_ecology_behavior,conchology,Mollusks; Shells,v.2 (1842),conchologiasyste02reev,https://www.biodiversitylibrary.org/item/54061,https://www.biodiversitylibrary.org/itemtext/54061,Public domain. The BHL considers that this work is no longer under copyright protection.,,,
BHL,54065,15900,American journal of conchology,"Tryon, George W., (George Washington), 1838-1888; Academy of Natural Sciences of Philadelphia. Conchological Section.",ENG,1871,1870_1879,journal_or_proceedings_volume,general_or_unknown,conchology,Mollusks; Periodicals,v.7 (1871-1872),americanjournalo7187172tryo,https://www.biodiversitylibrary.org/item/54065,https://www.biodiversitylibrary.org/itemtext/54065,Public domain. The BHL considers that this work is no longer under copyright protection.,,,
BHL,54081,15774,"The Annals and magazine of natural history; zoology, botany, and geology",,ENG,1876,1870_1879,journal_or_proceedings_volume,natural_history_ecology_behavior,natural history;zoology,Botany; Geology; Natural history; Zoology,ser.4:v.18=no.103-108 (1876),annalsmagazineof4181876lond,https://www.biodiversitylibrary.org/item/54081,https://www.biodiversitylibrary.org/itemtext/54081,Public domain. The BHL considers that this work is no longer under copyright protection.,,,
BHL,59247,61849,"Catalogue of the fossil Mammalia in the British museum, (Natural History)","British Museum (Natural History). Department of Geology.; Lydekker, Richard, 1849-1915",ENG,1885,1880_1889,catalogue_list,taxonomy_systematics,natural history,"Mammals, Fossil",pt.2 (1885),catalogueoffossi02britiala,https://www.biodiversitylibrary.org/item/59247,https://www.biodiversitylibrary.org/itemtext/59247,Public domain. The BHL considers that this work is no longer under copyright protection.,,,
BHL,59249,61849,"Catalogue of the fossil Mammalia in the British museum, (Natural History)","British Museum (Natural History). Department of Geology.; Lydekker, Richard, 1849-1915",ENG,1886,1880_1889,catalogue_list,taxonomy_systematics,natural history,"Mammals, Fossil",pt.4 (1886),catalogueoffossi04britiala,https://www.biodiversitylibrary.org/item/59249,https://www.biodiversitylibrary.org/itemtext/59249,Public domain. The BHL considers that this work is no longer under copyright protection.,,,
BHL,70822,8149,Catalogue of the specimens of Dermaptera Saltatoria and supplement of the Blattari in the collection of the British Museum,"British Museum (Natural History). Department of Zoology.; Gray, John Edward 1800-1875; Walker, Francis, 1809-1874",ENG,1870,1870_1879,catalogue_list,taxonomy_systematics,natural history;zoology,British Museum (Natural History); Cockroaches; Dept. of Zoology; Orthoptera,pt.3 (1870),catalogueofspeci03britrich,https://www.biodiversitylibrary.org/item/70822,https://www.biodiversitylibrary.org/itemtext/70822,Public domain. The BHL considers that this work is no longer under copyright protection.,,,
BHL,305869,189299,"Spring catalog, 1949 : a complete line of flower, garden and field seeds, insecticides, fertilizers, pet and animal foods and remedies",Quinlan Seed Store.; Henry G. Gilbert Nursery and Seed Trade Catalog Collection.,ENG,1949,1940_1949,catalogue_list,taxonomy_systematics,animal,Catalogs; Equipment and supplies; Indiana; Flowers; Gardening; Seeds; Seed industry and trade; Terre Haute; Vegetables,1949,CAT31384196,https://www.biodiversitylibrary.org/item/305869,https://www.biodiversitylibrary.org/itemtext/305869,Public domain. The BHL considers that this work is no longer under copyright protection.,The contributing institution believes that this item is not in copyright,,
BHL,317753,197079,William Brewster correspondence. Senders MacMillan-Maynard,"Brewster, William, 1851-1919; Deane, Walter, 1848-1930; Macoun, John, 1831-1920; Manigault, Gabriel E. (Gabriel Edward), 1833-1899; Mann, James R.; Marshall, William Blanchard, 1865-; Martin, Daniel S. (Daniel Strobel), 1842-; Martin, John, of Palestine, Ore.; Mason, L. L.; Brackett, Edward A.; Maughan, J.; Maynard, Pauline T.; Massachusetts. Department of Fisheries, Wildlife, and Recreational Vehicles.",ENG,1871,1870_1879,monograph_or_book,general_or_unknown,ornithology,"(Gabriel Edward),; 1833-1899; 1842-; (Daniel Strobel),; 1851-1919; 1831-1920; 1848-1930; 1865-; Brackett, Edward A; Brewster, William,; Deane, Walter,; Correspondence; Department of Fisheries, Wildlife, and Recreationa; Mann, James R; Mason, L. L; Maughan, J; Marshall, William Blanchard,; Maynard, Pauline T; Ornithology; Manigault, Gabriel E; Martin, John,; Macoun, John,; Martin, Daniel S; Massachusetts; of Palestine, Ore","MacMillan, D.B.",williambrewster00brewbj,https://www.biodiversitylibrary.org/item/317753,https://www.biodiversitylibrary.org/itemtext/317753,Public domain. The BHL considers that this work is no longer under copyright protection.,,,
BHL,317866,197349,"Scientific reports,. Series C, Zoology and botany","Mawson, Douglas, Sir, 1882-1958; Australasian Antarctic Expedition (1911-1914)",ENG,1917,1910_1919,monograph_or_book,general_or_unknown,zoology,,v.5 (1917-1920),scientificrepor5maws,https://www.biodiversitylibrary.org/item/317866,https://www.biodiversitylibrary.org/itemtext/317866,Public domain. The BHL considers that this work is no longer under copyright protection.,,,
BHL,317923,198024,"Essays on natural history, chiefly ornithology. Second series: with a continuation of the autobiography of the author","Waterton, Charles, 1782-1865",ENG,1844,1830_1849,popular_or_essay,natural_history_ecology_behavior,natural history;ornithology,"1782-1865; Birds; Electronic books; Natural history; Ornithology; Waterton, Charles,",,b33030212,https://www.biodiversitylibrary.org/item/317923,https://www.biodiversitylibrary.org/itemtext/317923,Not provided. Contact Holding Institution to verify copyright status.,"<a href=""http://creativecommons.org/publicdomain/mark/1.0/"" rel=""nofollow"">This work is available under the Creative Commons, Public Domain Mark</a>",,
BHL,54492,16125,"Preliminary report on the Cretaceous lamellibranchs collected in the vicinity of Pernambuco, Brazil","Rathbun, Richard, 1852-1918; Hartt, Charles Frederick, 1840-1878",ENG,1875,1870_1879,monograph_or_book,paleontology,paleontology,"Brazil; Bivalves, Fossil; Cretaceous; Paleontology",,preliminaryrepor00rath,https://www.biodiversitylibrary.org/item/54492,https://www.biodiversitylibrary.org/itemtext/54492,Public domain. The BHL considers that this work is no longer under copyright protection.,,,
BHL,54561,16159,"An introduction to the study of conchology : describing the orders, genera, and species of shells; their most prominent characteristics, and usual mode of classification : with observations on the nature and properties of the animals; and directions for collecting, preserving, and cleaning shells.and directions for collecting, preserving, and cleaning shells","Wodarch, Charles.",ENG,1820,1800_1829,textbook_manual,taxonomy_systematics,animal;animals;classification;conchology,Shells,,introductiontost00woda,https://www.biodiversitylibrary.org/item/54561,https://www.biodiversitylibrary.org/itemtext/54561,Public domain. The BHL considers that this work is no longer under copyright protection.,,,
BHL,54567,16163,"Wodarch's introduction to the study of conchology : describing the orders, genera, and species of shells : with observations on the nature and properties of the animals and directions for collecting, preserving, and cleaning shells","Wodarch, Charles.; Mawe, John, 1764-1829; Crouch, Edmund A. C.",ENG,1825,1800_1829,textbook_manual,taxonomy_systematics,animal;animals;conchology,Shells; Shellfish,,wodarchsintroduc00wodarc,https://www.biodiversitylibrary.org/item/54567,https://www.biodiversitylibrary.org/itemtext/54567,Public domain. The BHL considers that this work is no longer under copyright protection.,,,
BHL,54601,5795,Transactions of the American Entomological Society,American Entomological Society.,ENG,1897,1890_1899,journal_or_proceedings_volume,general_or_unknown,entomology,Entomology; Periodicals,v.24 (1897),transactionsofam2497amer,https://www.biodiversitylibrary.org/item/54601,https://www.biodiversitylibrary.org/itemtext/54601,Public domain. The BHL considers that this work is no longer under copyright protection.,,,
BHL,54645,16183,Proceedings of the Royal Physical Society of Edinburgh,Royal Physical Society of Edinburgh.,ENG,1878,1870_1879,journal_or_proceedings_volume,natural_history_ecology_behavior,natural history;zoology,Natural history; Periodicals; Zoology; Science,v.5 (1878-1880),proceedingsofroy5roya,https://www.biodiversitylibrary.org/item/54645,https://www.biodiversitylibrary.org/itemtext/54645,Public domain. The BHL considers that this work is no longer under copyright protection.,,,
BHL,54881,51728,Maryland geological survey,Maryland Geological Survey.,ENG,1904,1900_1909,monograph_or_book,paleontology,paleontology,"Geology, Stratigraphic; Geology; Maryland; Paleontology",v.2:pt.1 (1904) [Miocene],miocene01mary,https://www.biodiversitylibrary.org/item/54881,https://www.biodiversitylibrary.org/itemtext/54881,Public domain. The BHL considers that this work is no longer under copyright protection.,,,
BHL,65764,60043,Catalogue of coleopterous insects in the collection of the British Museum,"British Museum (Natural History). Department of Zoology.; Boheman, C. H. (Carl Henrik), 1796-1868; Smith, Frederick, 1805-1879; White, Adam, 1817-1879",ENG,1853,1850_1859,catalogue_list,taxonomy_systematics,natural history;zoology,Beetles; British Museum (Natural History); Dept. of Zoology,pt.7=pt.1 (1853),p7catalogueofcol00brituoft,https://www.biodiversitylibrary.org/item/65764,https://www.biodiversitylibrary.org/itemtext/65764,Public domain. The BHL considers that this work is no longer under copyright protection.,,,
BHL,51567,14781,Revue méthodique et critique des collections déposées dans cet établissement,Rijksmuseum van Natuurlijke Historie te Leiden.,ENG,1876,1870_1879,monograph_or_book,natural_history_ecology_behavior,natural history;zoology,Natural history; Netherlands; Periodicals; Zoology; Zoological museums,t.7 (1876),revuemthodique07rijk,https://www.biodiversitylibrary.org/item/51567,https://www.biodiversitylibrary.org/itemtext/51567,Public domain. The BHL considers that this work is no longer under copyright protection.,,,
BHL,51574,14959,Mesozoic fossils,"Geological Survey of Canada; Whiteaves, Joseph Frederick, 1835-1909",ENG,1876,1870_1879,monograph_or_book,paleontology,paleontology,British Columbia; Canada; Haida Gwaii (B.C.); Fossils; Mesozoic; Paleontology; Vancouver Island (B.C.),v.1:pt.1-5,mesozoicfossils115geol,https://www.biodiversitylibrary.org/item/51574,https://www.biodiversitylibrary.org/itemtext/51574,Public domain. The BHL considers that this work is no longer under copyright protection.,,,
BHL,51755,15054,List of the fossil faunas of Sweden,"Naturhistoriska riksmuseet (Sweden); Statens historiska museum (Stockholm, Sweden)",ENG,1888,1880_1889,catalogue_list,paleontology,fauna;paleontology,Fossils; Paleontology; Sweden,pt.2,listoffossilfaun02stoc,https://www.biodiversitylibrary.org/item/51755,https://www.biodiversitylibrary.org/itemtext/51755,Public domain. The BHL considers that this work is no longer under copyright protection.,,,
BHL,51757,15054,List of the fossil faunas of Sweden,"Naturhistoriska riksmuseet (Sweden); Statens historiska museum (Stockholm, Sweden)",ENG,1888,1880_1889,catalogue_list,paleontology,fauna;paleontology,Fossils; Paleontology; Sweden,pt.1,listoffossilfaun01stoc,https://www.biodiversitylibrary.org/item/51757,https://www.biodiversitylibrary.org/itemtext/51757,Public domain. The BHL considers that this work is no longer under copyright protection.,,,
