work_id,period_bin,subfield,n_rows,all_n,all_divine_teleology,all_non_divine_teleology,all_internal_essence,whole_n,whole_divine_teleology,whole_non_divine_teleology,whole_internal_essence,part_n,part_divine_teleology,part_non_divine_teleology,part_internal_essence
51166,1830_1849,general_or_unknown,434,6,0,4,2,3,0,2,1,3,0,2,1
51200,1850_1869,natural_history_ecology_behavior,26,1,0,1,0,0,0,0,0,1,0,1,0
51357,1830_1849,natural_history_ecology_behavior,4800,90,2,79,9,42,1,39,2,48,1,40,7
51450,1800_1829,general_or_unknown,538,49,0,35,14,32,0,25,7,17,0,10,7
51562,1890_1909,taxonomy_systematics,1200,120,0,67,53,89,0,53,36,31,0,14,17
51631,1870_1889,natural_history_ecology_behavior,1200,11,0,1,10,5,0,1,4,6,0,0,6
61923,1910_1929,taxonomy_systematics,3600,172,0,73,99,53,0,30,23,119,0,43,76
51805,1830_1849,taxonomy_systematics,245,81,0,36,45,44,0,21,23,37,0,15,22
51821,1830_1849,general_or_unknown,997,133,0,75,58,21,0,16,5,112,0,59,53
12492,1830_1849,general_or_unknown,1329,118,0,41,77,19,0,15,4,99,0,26,73
51841,1870_1889,taxonomy_systematics,2175,192,0,102,90,43,0,32,11,149,0,70,79
51877,1870_1889,general_or_unknown,1200,174,0,118,56,53,0,43,10,121,0,75,46
11793,1870_1889,taxonomy_systematics,646,7,0,6,1,6,0,5,1,1,0,1,0
16333,1890_1909,general_or_unknown,1298,84,0,11,73,39,0,7,32,45,0,4,41
57744,1890_1909,taxonomy_systematics,1536,167,0,79,88,36,0,24,12,131,0,55,76
52024,1890_1909,general_or_unknown,1200,49,0,38,11,12,0,12,0,37,0,26,11
52028,1910_1929,natural_history_ecology_behavior,932,67,0,67,0,29,0,29,0,38,0,38,0
52039,1890_1909,general_or_unknown,408,23,0,13,10,8,0,8,0,15,0,5,10
52110,1850_1869,paleontology,1200,162,0,14,148,112,0,0,112,50,0,14,36
52120,1890_1909,paleontology,2400,189,0,36,153,29,0,7,22,160,0,29,131
52150,1850_1869,taxonomy_systematics,624,146,0,3,143,59,0,0,59,87,0,3,84
52151,1870_1889,paleontology,32,0,0,0,0,0,0,0,0,0,0,0,0
52327,1890_1909,natural_history_ecology_behavior,374,120,0,69,51,24,0,8,16,96,0,61,35
52350,1890_1909,paleontology,342,10,0,1,9,7,0,0,7,3,0,1,2
52382,1890_1909,paleontology,1200,31,0,2,29,11,0,0,11,20,0,2,18
52386,1870_1889,paleontology,301,16,0,1,15,15,0,0,15,1,0,1,0
9077,1870_1889,paleontology,548,28,0,4,24,23,0,3,20,5,0,1,4
52397,1890_1909,embryology_development,294,14,0,8,6,11,0,6,5,3,0,2,1
52398,1910_1929,general_or_unknown,1200,11,0,9,2,8,0,8,0,3,0,1,2
52401,1870_1889,paleontology,39,0,0,0,0,0,0,0,0,0,0,0,0
52405,1890_1909,paleontology,950,40,0,0,40,12,0,0,12,28,0,0,28
53118,1850_1869,taxonomy_systematics,3600,295,1,168,126,51,1,41,9,244,0,127,117
53461,1830_1849,taxonomy_systematics,447,14,0,7,7,4,0,3,1,10,0,4,6
15752,1890_1909,general_or_unknown,2400,449,4,344,101,143,2,119,22,306,2,225,79
53548,1850_1869,taxonomy_systematics,526,27,0,0,27,9,0,0,9,18,0,0,18
53571,1870_1889,natural_history_ecology_behavior,66,12,0,7,5,3,0,2,1,9,0,5,4
53623,1870_1889,general_or_unknown,1200,188,0,75,113,31,0,14,17,157,0,61,96
16033,1890_1909,natural_history_ecology_behavior,1687,149,0,16,133,27,0,3,24,122,0,13,109
53716,1910_1929,natural_history_ecology_behavior,700,16,0,5,11,2,0,0,2,14,0,5,9
53733,1850_1869,paleontology,793,99,0,53,46,16,0,8,8,83,0,45,38
53764,1830_1849,general_or_unknown,407,22,0,2,20,2,0,0,2,20,0,2,18
53770,1870_1889,natural_history_ecology_behavior,254,6,0,6,0,6,0,6,0,0,0,0,0
53804,1870_1889,taxonomy_systematics,995,37,0,12,25,13,0,10,3,24,0,2,22
53809,1890_1909,embryology_development,1200,74,0,57,17,15,0,9,6,59,0,48,11
53893,1870_1889,general_or_unknown,1200,573,0,279,294,173,0,61,112,400,0,218,182
53901,1910_1929,general_or_unknown,1200,107,0,106,1,59,0,58,1,48,0,48,0
53930,1890_1909,evolution_adaptation,707,151,5,50,96,76,4,24,48,75,1,26,48
53935,1870_1889,taxonomy_systematics,1200,140,0,70,70,18,0,9,9,122,0,61,61
53936,1890_1909,taxonomy_systematics,1200,127,0,36,91,6,0,5,1,121,0,31,90
53940,1890_1909,natural_history_ecology_behavior,2245,549,1,466,82,246,1,225,20,303,0,241,62
53943,1890_1909,paleontology,1200,75,1,65,9,31,0,31,0,44,1,34,9
53953,1910_1929,general_or_unknown,1337,179,0,50,129,107,0,39,68,72,0,11,61
53970,1890_1909,natural_history_ecology_behavior,1200,145,2,136,7,81,0,79,2,64,2,57,5
53973,1870_1889,taxonomy_systematics,1200,75,0,72,3,28,0,28,0,47,0,44,3
53976,1890_1909,general_or_unknown,636,183,0,161,22,28,0,25,3,155,0,136,19
53985,1910_1929,embryology_development,4800,1099,3,400,696,428,0,157,271,671,3,243,425
53987,1910_1929,general_or_unknown,593,124,0,120,4,37,0,35,2,87,0,85,2
54000,1890_1909,comparative_anatomy_morphology,944,62,0,12,50,4,0,0,4,58,0,12,46
54005,1870_1889,general_or_unknown,1200,469,2,205,262,114,0,51,63,355,2,154,199
46110,1890_1909,taxonomy_systematics,922,124,0,44,80,39,0,9,30,85,0,35,50
54014,1870_1889,general_or_unknown,731,129,0,104,25,37,0,35,2,92,0,69,23
54029,1890_1909,general_or_unknown,1013,196,5,190,1,102,3,99,0,94,2,91,1
54031,1890_1909,natural_history_ecology_behavior,1114,34,0,34,0,23,0,23,0,11,0,11,0
54036,1910_1929,general_or_unknown,179,5,0,2,3,1,0,0,1,4,0,2,2
54040,1890_1909,natural_history_ecology_behavior,1017,111,0,98,13,70,0,61,9,41,0,37,4
54042,1870_1889,natural_history_ecology_behavior,526,10,2,8,0,5,1,4,0,5,1,4,0
54058,1890_1909,general_or_unknown,469,34,0,29,5,19,0,15,4,15,0,14,1
54063,1870_1889,general_or_unknown,1200,52,0,40,12,23,0,19,4,29,0,21,8
54065,1870_1889,paleontology,1200,0,0,0,0,0,0,0,0,0,0,0,0
63153,1890_1909,evolution_adaptation,2400,608,2,469,137,280,2,188,90,328,0,281,47
54078,1910_1929,general_or_unknown,1200,323,0,294,29,97,0,87,10,226,0,207,19
54089,1890_1909,general_or_unknown,472,123,1,58,64,47,0,16,31,76,1,42,33
54095,1870_1889,paleontology,513,21,0,20,1,9,0,9,0,12,0,11,1
54107,1910_1929,evolution_adaptation,44,3,0,2,1,3,0,2,1,0,0,0,0
54111,1890_1909,general_or_unknown,65,1,0,1,0,1,0,1,0,0,0,0,0
41819,1890_1909,general_or_unknown,1200,79,0,69,10,43,0,40,3,36,0,29,7
54117,1870_1889,natural_history_ecology_behavior,746,41,1,40,0,22,0,22,0,19,1,18,0
54120,1890_1909,natural_history_ecology_behavior,293,7,0,6,1,2,0,2,0,5,0,4,1
54129,1910_1929,general_or_unknown,1200,345,0,192,153,144,0,80,64,201,0,112,89
69671,1850_1869,paleontology,2930,179,0,31,148,89,0,16,73,90,0,15,75
54144,1910_1929,natural_history_ecology_behavior,1200,84,0,77,7,58,0,52,6,26,0,25,1
54145,1890_1909,natural_history_ecology_behavior,666,30,0,28,2,7,0,7,0,23,0,21,2
54167,1910_1929,general_or_unknown,324,18,0,18,0,9,0,9,0,9,0,9,0
54173,1850_1869,natural_history_ecology_behavior,1200,136,0,78,58,21,0,16,5,115,0,62,53
54184,1890_1909,general_or_unknown,1200,384,0,200,184,115,0,57,58,269,0,143,126
54191,1910_1929,natural_history_ecology_behavior,565,62,1,61,0,39,0,39,0,23,1,22,0
54196,1910_1929,general_or_unknown,1200,429,0,215,214,119,0,58,61,310,0,157,153
54202,1890_1909,general_or_unknown,643,280,0,82,198,111,0,23,88,169,0,59,110
16294,1870_1889,general_or_unknown,2400,496,0,187,309,73,0,44,29,423,0,143,280
54210,1910_1929,natural_history_ecology_behavior,1200,316,0,265,51,164,0,146,18,152,0,119,33
54211,1850_1869,taxonomy_systematics,1182,384,16,94,274,223,12,48,163,161,4,46,111
54232,1910_1929,general_or_unknown,56,1,0,1,0,1,0,1,0,0,0,0,0
54246,1910_1929,general_or_unknown,424,116,5,103,8,65,2,56,7,51,3,47,1
54255,1910_1929,comparative_anatomy_morphology,537,95,0,49,46,19,0,8,11,76,0,41,35
54257,1890_1909,general_or_unknown,1200,461,0,256,205,111,0,62,49,350,0,194,156
54261,1890_1909,embryology_development,1200,333,0,96,237,145,0,32,113,188,0,64,124
54264,1910_1929,natural_history_ecology_behavior,637,16,1,15,0,9,1,8,0,7,0,7,0
54278,1890_1909,natural_history_ecology_behavior,1200,406,0,340,66,86,0,73,13,320,0,267,53
54284,1910_1929,general_or_unknown,296,30,0,30,0,18,0,18,0,12,0,12,0
54293,1910_1929,natural_history_ecology_behavior,689,13,0,12,1,2,0,2,0,11,0,10,1
54304,1910_1929,natural_history_ecology_behavior,693,94,0,90,4,34,0,33,1,60,0,57,3
54306,1910_1929,comparative_anatomy_morphology,2400,618,0,300,318,138,0,68,70,480,0,232,248
54315,1890_1909,embryology_development,1200,95,0,64,31,34,0,27,7,61,0,37,24
54319,1890_1909,taxonomy_systematics,195,112,0,33,79,26,0,8,18,86,0,25,61
54340,1910_1929,paleontology,117,9,0,3,6,3,0,2,1,6,0,1,5
54341,1870_1889,evolution_adaptation,1200,187,0,154,33,81,0,69,12,106,0,85,21
54364,1910_1929,general_or_unknown,467,52,0,50,2,20,0,20,0,32,0,30,2
54369,1910_1929,general_or_unknown,1200,527,0,352,175,194,0,123,71,333,0,229,104
54378,1890_1909,paleontology,1200,118,0,52,66,62,0,34,28,56,0,18,38
51926,1910_1929,general_or_unknown,1200,48,0,33,15,24,0,16,8,24,0,17,7
