source,identifier,title,creators,year,collections,item_text_url,work_key
IA,10867534bsb,"A General Natural History: Or, New and Accurate Descriptions Of The Animals, Vegetables, and Minerals, Of the Different Parts of the World: With Their Virtues and Uses, as far as hitherto certainly known, in Medicine and Mechanics: Illustrated By a General Review of the Knowledge of the Ancients, and the Discoveries and Improvements of later Ages in these Studies ; Including The History of the Materia Medica, Pictoria, and Tinctoria, of the Present and Earlier Ages ; As Also Observations on the neglected Properties of many valuable Substances known at present; and Attempts to discover the lost Medicines, etc. of former Ages, in a Series of Critical Enquiries into the Materia Medica of the Ancient Greeks. 2","Hill, John",1751,german-online-libraries;booksbylanguage_german;booksbylanguage,https://archive.org/download/10867534bsb/10867534bsb_djvu.txt,hill|general natural history or new and accurate descriptions
IA,bim_eighteenth-century_an-essay-towards-a-natur_dodd-james-solas_1752,"An essay towards a natural history of the herring. By James Solas Dodd, ... 1752","Dodd, James Solas",1752,pub_eighteenth-century;bim_microfilm;microfilm,https://archive.org/download/bim_eighteenth-century_an-essay-towards-a-natur_dodd-james-solas_1752/bim_eighteenth-century_an-essay-towards-a-natur_dodd-james-solas_1752_djvu.txt,dodd|essay towards a natural history of the herring
IA,bim_eighteenth-century_philosophical-observatio_parsons-james_1752,"Philosophical observations on the analogy between the propagation of animals and that of vegetables: in which are answered some objections against the indivisibility of the soul, ... With an explanation of the manner in which each piece of a divided polypus becomes another perfect animal of the same species. By James Parsons, ... 1752","Parsons, James.",1752,pub_eighteenth-century;bim_microfilm;microfilm,https://archive.org/download/bim_eighteenth-century_philosophical-observatio_parsons-james_1752/bim_eighteenth-century_philosophical-observatio_parsons-james_1752_djvu.txt,parsons|philosophical observations on the analogy between the propagation
IA,bim_eighteenth-century_the-art-of-making-sugar_1752,"The Art of making sugar: under the heads of I. The natural history of the sugar-cane. II. The culture of the sugar-cane. ... With an appendix containing The art of fermenting and distilling melasses, scums &c. for rum. 1752",,1752,pub_eighteenth-century;bim_microfilm;microfilm;fav-jesse1053,https://archive.org/download/bim_eighteenth-century_the-art-of-making-sugar_1752/bim_eighteenth-century_the-art-of-making-sugar_1752_djvu.txt,|art of making sugar under the heads of
IA,bim_eighteenth-century_a-description-of-three-h_boreman-thomas_1753,"A description of three hundred animals, viz. beasts, birds, fishes, serpents, and insects. With a particular account of the manner of their catching of whales in Greenland. Extracted from the best authors, ... Illustrated with copper plates, ... The seventh edition, carefully corrected and amended. 1753","Boreman, Thomas.",1753,pub_eighteenth-century;bim_microfilm;microfilm;fav-jennifer886;fav-kyla_slobodin;fav-ratwiththepox,https://archive.org/download/bim_eighteenth-century_a-description-of-three-h_boreman-thomas_1753/bim_eighteenth-century_a-description-of-three-h_boreman-thomas_1753_djvu.txt,boreman|description of three hundred animals viz beasts birds
IA,bim_eighteenth-century_queries-proposed-to-gent_society-of-antiquaries-o_1754,"Queries proposed to gentlemen in the several parts of Great Britain, in hope of obtaining, from their answers, a better knowledge of its antiquities and natural history. 1754",Society of Antiquaries of London.,1754,pub_eighteenth-century;bim_microfilm;microfilm,https://archive.org/download/bim_eighteenth-century_queries-proposed-to-gent_society-of-antiquaries-o_1754/bim_eighteenth-century_queries-proposed-to-gent_society-of-antiquaries-o_1754_djvu.txt,societyofantiquariesoflondon|queries proposed to gentlemen in the several parts
IA,bim_eighteenth-century_a-natural-history-of-sin_albin-eleazar_1754,"A natural history of singing birds; and particularly, that species of them most commonly bred in Scotland. ... By a lover of birds. 1754","Albin, Eleazar.",1754,pub_eighteenth-century;bim_microfilm;microfilm,https://archive.org/download/bim_eighteenth-century_a-natural-history-of-sin_albin-eleazar_1754/bim_eighteenth-century_a-natural-history-of-sin_albin-eleazar_1754_djvu.txt,albin|natural history of singing birds and particularly that
IA,bim_eighteenth-century_the-emulation-of-the-ins_1754,"The emulation of the insects: or, a minister chosen. A fable. ... 1754",,1754,pub_eighteenth-century;bim_microfilm;microfilm,https://archive.org/download/bim_eighteenth-century_the-emulation-of-the-ins_1754/bim_eighteenth-century_the-emulation-of-the-ins_1754_djvu.txt,|emulation of the insects or a minister chosen
IA,bim_eighteenth-century_physiological-essays-co_whytt-robert-the-elder_1755,"Physiological essays, containing, I. An inquiry into the causes which promote the circulation of the fluids in the very small vessels of animals ... 1755","Whytt, Robert, the Elder.",1755,pub_eighteenth-century;bim_microfilm;microfilm,https://archive.org/download/bim_eighteenth-century_physiological-essays-co_whytt-robert-the-elder_1755/bim_eighteenth-century_physiological-essays-co_whytt-robert-the-elder_1755_djvu.txt,whytt|physiological essays containing i an inquiry into the
IA,paper-doi-10_1098_rstl_1755_0089,"An Account of a Work Published in Italian by Vitaliano Donati, M. D. Containing, An Essay towards a Natural History of the Adriatic Sea: By Mr. Abraham Trembley, F. R. S. Translated from the French, by Thomas Birch, D. D. Secret. R. S.",A. Trembley; T. Birch,1755,paper_doi_mirrored_texts;journals,https://archive.org/download/paper-doi-10_1098_rstl_1755_0089/paper-doi-10_1098_rstl_1755_0089_djvu.txt,atrembleytbirch|account of a work published in italian by
